[14:35:28] [main/INFO]: ModLauncher running: args [--username, Yuu144Y, --version, forge-47.3.0, --gameDir, C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft, --assetsDir, C:\Users\Yuu14\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 0fffc02a5c5649299daea19b9ee969a0, --accessToken, ????????, --clientId, MzhlZmZiMGItZGU3MC00NDQ1LTkwOGItNjVhY2I3YmY2ZWI5, --xuid, 2535408374808481, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\Yuu14\curseforge\minecraft\Install\quickPlay\java\1739712926884.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[14:35:28] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[14:35:29] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[14:35:29] [main/INFO]: Trying GL version 4.6
[14:35:30] [main/INFO]: Requested GL version 4.6 got version 4.6
[14:35:30] [main/INFO]: Mixin Transmogrifier is definitely up to no good...
[14:35:30] [main/INFO]: crimes against java were committed
[14:35:30] [main/INFO]: Original mixin transformation service successfully crobbed by mixin-transmogrifier!
[14:35:30] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Yuu14/curseforge/minecraft/Instances/144Craft/mods/Connector-1.0.0-beta.46+1.20.1.jar%23384%23387!/ Service=ModLauncher Env=CLIENT
[14:35:30] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3070 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 566.36, NVIDIA Corporation
[14:35:30] [main/INFO]: Found mod file allthecompressed-1.20.1-3.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file alltheores-1.20.1-47.1.3-2.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file allthetweaks-1.20.1-47.2.20-2.3.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file almostunified-forge-1.20.1-0.9.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file angelring-1.20.1-2.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Apotheosis-1.20.1-7.4.3.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ApothicAttributes-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file appliedenergistics2-forge-15.2.15.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.12.6-all.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file artifacts-forge-9.5.13.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.9-all.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file born_in_chaos_[Forge]1.20.1_1.5.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file BrandonsCore-1.20.1-3.2.1.302-universal.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file buildinggadgets2-1.0.7.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file caelus-forge-3.2.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file chipped-forge-1.20.1-3.0.7.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file chococraft-1.20.1-forge-0.9.12.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Chunky-1.3.146.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file citadel-2.6.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file CodeChickenLib-1.20.1-4.4.0.516-universal.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file cofh_core-1.20.1-11.0.2.56.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file CommonCapabilities-1.20.1-2.9.3.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file compactmachines-forge-6.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file connectedglass-1.1.12-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file constructionwand-1.20.1-2.11.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file create-1.20.1-0.5.1.j.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file create-new-age-forge-1.20.1-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file create-stuff-additions1.20.1_v2.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file create_central_kitchen-1.20.1-for-create-0.5.1.f-1.3.12.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file create_connected-0.9.2-mc1.20.1-all.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file create_enchantment_industry-1.20.1-for-create-0.5.1.f-1.2.9.d.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file create_misc_and_things_ 1.20.1_4.0A.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file createaddition-1.20.1-1.2.4e.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file createdeco-2.0.2-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file creeperoverhaul-3.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Cucumber-1.20.1-7.0.13.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file curios-forge-5.11.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Cyclic-1.20.1-1.13.3.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file CyclopsCore-1.20.1-1.19.5.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file DarkModeEverywhere-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file DarkUtilities-Forge-1.20.1-17.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file deeperdarker-forge-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Draconic-Evolution-1.20.1-3.1.2.598-universal.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Dungeon Crawl-1.20.1-2.3.14.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Dungeon Now Loading-forge-1.20.1-1.5.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file easy-villagers-forge-1.20.1-1.1.23.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file elevatorid-1.20.1-lex-1.9.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file enderchests-forge-1.20.1-1.3.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file endertanks-forge-1.20.1-1.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file entangled-1.3.20-forge-mc1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Explorify v1.6.2 f10-48.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ExtendedAE-1.20-1.3.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ExtremeReactors2-1.20.1-2.0.90.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ExtremeSoundMuffler-3.48-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file fabric-api-0.92.2+1.11.9+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file fancymenu_forge_3.3.2_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file FastLeafDecay-32.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file flib-1.20.1-0.0.14.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file FluxNetworks-1.20.1-7.2.1.15.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file FramedBlocks-9.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ftb-chunks-forge-2001.3.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ftb-essentials-forge-2001.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ftb-library-forge-2001.2.6.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ftb-quests-forge-2001.4.9.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ftb-teams-forge-2001.3.0.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ftb-ultimine-forge-2001.1.5.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file fusion-1.1.1-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.4.9.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Glodium-1.20-1.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file handcrafted-forge-1.20.1-3.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file HostileNeuralNetworks-1.20.1-5.3.3.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file iceandfire-2.1.13-1.20.1-beta-5.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.3.3+1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file immersive_aircraft-1.1.5+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file industrial-foregoing-1.20.1-3.5.19.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file IntegratedDynamics-1.20.1-1.24.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file ironfurnaces-1.20.1-4.1.6.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file IronJetpacks-1.20.1-7.0.7.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file irons_spellbooks-1.20.1-3.4.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file item-filters-forge-2001.1.0-build.59.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file itemcollectors-1.1.10-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Jade-1.20.1-forge-11.11.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file jei-1.20.1-forge-15.20.0.105.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file JustEnoughResources-1.20.1-1.4.0.247.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file justzoom_forge_2.0.0_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file konkrete_forge_1.8.0_MC_1.20-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file kotlinforforge-4.11.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file kubejs-forge-2001.6.5-build.16.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file kubejspowah-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file L_Enders_Cataclysm-2.27 - 1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file laserio-1.6.8.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file libraryferret-forge-1.20.1-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file lionfishapi-2.4-Fix.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file lithostitched-forge-1.20.1-1.3.10.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file lootr-forge-1.20-0.7.35.90.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mahoutsukai-1.20.1-v1.34.78.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mcjtylib-1.20-8.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mcw-doors-1.1.1forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mcw-fences-1.1.2-mc1.20.1forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mcw-furniture-3.3.0-mc1.20.1forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mcw-lights-1.1.0-mc1.20.1forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mcw-roofs-2.3.1-mc1.20.1forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mcw-trapdoors-1.1.3-mc1.20.1forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mcw-windows-2.3.0-mc1.20.1forge.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file megacells-forge-2.4.5-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file Mekanism-1.20.1-10.4.10.66.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file mekanism_turrets-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file MekanismExplosives-1.20.1-0.3.5.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
[14:35:30] [main/INFO]: Found mod file MekanismGenerators-1.20.1-10.4.10.66.jar of type MOD with provider {mods folder locator at C:\Users\Yuu14\curseforge\minecraft\Instances\144Craft\mods}
